City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,kailua-kona,19.6406,-155.9956,30.98,73,40,4.12,US,1690509974
161,constantia,44.1833,28.65,15.39,71,0,6.22,RO,1690509974
162,andratx,39.5755,2.4202,24.13,56,0,2.15,ES,1690509975
163,anadyr,64.75,177.4833,13.28,82,75,4.0,RU,1690509975
164,acarau,-2.8856,-40.12,26.02,84,9,6.91,BR,1690509975
165,santarem,-2.4431,-54.7083,27.07,94,0,0.0,BR,1690509705
166,fukuecho,32.6881,128.8419,29.2,84,75,3.09,JP,1690509975
167,kingston,17.997,-76.7936,29.53,77,20,7.2,JM,1690509869
168,huanggang,23.677,116.9996,30.94,85,100,3.23,CN,1690509976
169,haiku-pauwela,20.9219,-156.3051,28.43,62,40,10.8,US,1690509976
170,pathein,16.7833,94.7333,28.74,79,100,5.37,MM,1690509976
171,tidjikja,18.5564,-11.4271,32.09,28,4,7.2,MR,1690509977
172,kajuru,10.3192,7.6892,20.96,96,100,1.5,NG,1690509977
173,altai,46.3722,96.2583,22.96,21,2,0.91,MN,1690509977
174,glace bay,46.1969,-59.957,22.87,87,100,4.63,CA,1690509862
175,tizapan el alto,20.1667,-103.0667,24.03,73,45,2.99,MX,1690509977
176,qaqortoq,60.7167,-46.0333,6.49,74,100,0.67,GL,1690509978
177,pitkyaranta,61.5734,31.4792,14.94,88,100,2.99,RU,1690509978
178,nha trang,12.25,109.1833,32.0,61,74,1.41,VN,1690509966
179,vakhrushi,58.6847,50.0261,15.69,94,14,2.01,RU,1690509978
180,coahuayana de hidalgo,18.7,-103.6583,26.7,80,73,1.56,MX,1690509978
181,brandon,27.9378,-82.2859,28.92,82,40,1.54,US,1690509978
182,siracusa,37.0881,15.2792,23.77,65,0,1.58,IT,1690509699
183,colonia,50.9333,6.95,17.94,90,100,3.09,DE,1690509959
184,mount gambier,-37.8333,140.7667,14.81,77,4,4.32,AU,1690509979
185,whitehorse,60.7161,-135.0538,24.45,44,75,5.14,CA,1690509979
186,labytnangi,66.6572,66.4183,18.59,81,8,3.09,RU,1690509979
187,san fernando del valle de catamarca,-28.4696,-65.7852,13.21,66,0,0.84,AR,1690509980
188,calvi,42.5,8.8333,16.35,68,6,2.06,FR,1690509980
189,mhamid,29.82,-5.72,33.5,10,3,2.21,MA,1690509980
190,maracacume,-2.0428,-45.9592,22.77,94,9,1.47,BR,1690509888
191,zaozersk,69.4005,32.4476,12.0,91,28,1.07,RU,1690509981
192,dalai,45.5,124.3,27.33,77,100,5.97,CN,1690509981
193,ar rahad,12.7167,30.65,25.65,62,95,3.22,SD,1690509981
194,kosh-agach,50.0,88.6667,19.06,48,74,1.17,RU,1690509981
195,narwar,25.65,77.9,29.73,67,100,0.74,IN,1690509982
196,yorkton,51.2167,-102.4677,18.91,63,75,6.69,CA,1690509982
197,puerto rico,-26.796,-55.024,16.91,99,98,0.21,AR,1690509982
198,la ronge,55.1001,-105.2842,17.14,45,40,5.14,CA,1690509797
199,ilebo,-4.3167,20.5833,20.5,39,4,0.92,CD,1690509983
200,nandurbar,21.3667,74.25,24.97,89,100,7.32,IN,1690509983
201,port alfred,-33.5906,26.891,14.9,83,0,4.4,ZA,1690509983
202,fengxian,34.7039,116.5872,29.9,67,28,4.54,CN,1690509824
203,baukau,51.5526,7.2042,17.73,94,100,2.24,DE,1690509983
204,christchurch,-43.5333,172.6333,11.62,69,75,2.06,NZ,1690509777
205,weno,7.4515,151.8468,30.97,84,75,5.14,FM,1690509984
206,hala,25.8131,68.4227,28.97,74,96,8.66,PK,1690509984
207,ola,59.5833,151.2833,21.19,53,0,2.11,RU,1690509984
208,general fernandez oro,-38.953,-67.9249,6.08,81,0,0.0,AR,1690509984
209,kasongo-lunda,-6.4667,16.8167,21.27,48,55,0.6,CD,1690509985
